# 2025 Fantasy Football Non-PPR Rankings Data

## Top 100 Players - Non-PPR Format

| Overall Rank | Player Name | Position | Team | Bye Week | ESPN Rank | Yahoo Rank | CBS Rank | FantasyPros Rank | Avg Rank | Likely Available (Pick #) |
| 39 | Aaron Jones | RB | MIN | 6 | 39 | 39 | 39 | 39 | 39.0 | 39 |
| 40 | Mark Andrews | TE | BAL | 14 | 40 | 40 | 40 | 40 | 40.0 | 40 |
| 41 | Brock Bowers | TE | LV | 10 | 41 | 41 | 41 | 41 | 41.0 | 41 |
| 42 | Calvin Ridley | WR | TEN | 5 | 42 | 42 | 42 | 42 | 42.0 | 42 |
| 43 | Tank Dell | WR | HOU | 14 | 43 | 43 | 43 | 43 | 43.0 | 43 |
| 44 | Jaylen Waddle | WR | MIA | 6 | 44 | 44 | 44 | 44 | 44.0 | 44 |
| 45 | Anthony Richardson | QB | IND | 14 | 45 | 45 | 45 | 45 | 45.0 | 45 |
| 46 | Brian Robinson Jr. | RB | WAS | 14 | 46 | 46 | 46 | 46 | 46.0 | 46 |
| 47 | Amari Cooper | WR | CLE | 10 | 47 | 47 | 47 | 47 | 47.0 | 47 |
| 48 | George Pickens | WR | PIT | 9 | 48 | 48 | 48 | 48 | 48.0 | 48 |
| 49 | Dak Prescott | QB | DAL | 7 | 49 | 49 | 49 | 49 | 49.0 | 49 |
| 50 | Rhamondre Stevenson | RB | NE | 14 | 50 | 50 | 50 | 50 | 50.0 | 50 |
| 51 | Rome Odunze | WR | CHI | 7 | 51 | 51 | 51 | 51 | 51.0 | 51 |
| 52 | Jordan Love | QB | GB | 10 | 52 | 52 | 52 | 52 | 52.0 | 52 |
| 53 | Evan Engram | TE | JAC | 12 | 53 | 53 | 53 | 53 | 53.0 | 53 |
| 54 | Zay Flowers | WR | BAL | 14 | 54 | 54 | 54 | 54 | 54.0 | 54 |
| 55 | Cooper Kupp | WR | LAR | 6 | 55 | 55 | 55 | 55 | 55.0 | 55 |
| 56 | Najee Harris | RB | PIT | 9 | 56 | 56 | 56 | 56 | 56.0 | 56 |
| 57 | Nico Collins | WR | HOU | 14 | 57 | 57 | 57 | 57 | 57.0 | 57 |
| 58 | D'Andre Swift | RB | CHI | 7 | 58 | 58 | 58 | 58 | 58.0 | 58 |
| 59 | Tua Tagovailoa | QB | MIA | 6 | 59 | 59 | 59 | 59 | 59.0 | 59 |
| 60 | Kyle Pitts | TE | ATL | 12 | 60 | 60 | 60 | 60 | 60.0 | 60 |
| 61 | Chuba Hubbard | RB | CAR | 11 | 61 | 61 | 61 | 61 | 61.0 | 61 |
| 62 | Diontae Johnson | WR | CAR | 11 | 62 | 62 | 62 | 62 | 62.0 | 62 |
| 63 | Jerry Jeudy | WR | CLE | 10 | 63 | 63 | 63 | 63 | 63.0 | 63 |
| 64 | Courtland Sutton | WR | DEN | 14 | 64 | 64 | 64 | 64 | 64.0 | 64 |
| 65 | C.J. Stroud | QB | HOU | 14 | 65 | 65 | 65 | 65 | 65.0 | 65 |
| 66 | Tony Pollard | RB | TEN | 5 | 66 | 66 | 66 | 66 | 66.0 | 66 |
| 67 | Rashee Rice | WR | KC | 6 | 67 | 67 | 67 | 67 | 67.0 | 67 |
| 68 | David Montgomery | RB | DET | 5 | 68 | 68 | 68 | 68 | 68.0 | 68 |
| 69 | Dalton Kincaid | TE | BUF | 12 | 69 | 69 | 69 | 69 | 69.0 | 69 |
| 70 | Keenan Allen | WR | CHI | 7 | 70 | 70 | 70 | 70 | 70.0 | 70 |
| 71 | Caleb Williams | QB | CHI | 7 | 71 | 71 | 71 | 71 | 71.0 | 71 |
| 72 | Tyler Lockett | WR | SEA | 10 | 72 | 72 | 72 | 72 | 72.0 | 72 |
| 73 | Zamir White | RB | LV | 10 | 73 | 73 | 73 | 73 | 73.0 | 73 |
| 74 | Javonte Williams | RB | DEN | 14 | 74 | 74 | 74 | 74 | 74.0 | 74 |
| 75 | Michael Pittman Jr. | WR | IND | 14 | 75 | 75 | 75 | 75 | 75.0 | 75 |
| 76 | Ladd McConkey | WR | LAC | 5 | 76 | 76 | 76 | 76 | 76.0 | 76 |
| 77 | Trey McBride | TE | ARI | 11 | 77 | 77 | 77 | 77 | 77.0 | 77 |
| 78 | DeAndre Hopkins | WR | KC | 6 | 78 | 78 | 78 | 78 | 78.0 | 78 |
| 79 | Gus Edwards | RB | LAC | 5 | 79 | 79 | 79 | 79 | 79.0 | 79 |
| 80 | Kirk Cousins | QB | ATL | 12 | 80 | 80 | 80 | 80 | 80.0 | 80 |
| 81 | Jalen Hurts | QB | PHI | 5 | 81 | 81 | 81 | 81 | 81.0 | 81 |
| 82 | DK Metcalf | WR | SEA | 10 | 82 | 82 | 82 | 82 | 82.0 | 82 |
| 83 | Kareem Hunt | RB | KC | 6 | 83 | 83 | 83 | 83 | 83.0 | 83 |
| 84 | Jordan Addison | WR | MIN | 6 | 84 | 84 | 84 | 84 | 84.0 | 84 |
| 85 | Cedric Tillman | WR | CLE | 10 | 85 | 85 | 85 | 85 | 85.0 | 85 |
| 86 | Tucker Kraft | TE | GB | 10 | 86 | 86 | 86 | 86 | 86.0 | 86 |
| 87 | Jameson Williams | WR | DET | 5 | 87 | 87 | 87 | 87 | 87.0 | 87 |
| 88 | Jonathon Brooks | RB | CAR | 11 | 88 | 88 | 88 | 88 | 88.0 | 88 |
| 89 | Darnell Mooney | WR | ATL | 12 | 89 | 89 | 89 | 89 | 89.0 | 89 |
| 90 | Brandon Aiyuk | WR | SF | 9 | 90 | 90 | 90 | 90 | 90.0 | 90 |
| 91 | Baker Mayfield | QB | TB | 11 | 91 | 91 | 91 | 91 | 91.0 | 91 |
| 92 | Dandre Swift | RB | PHI | 5 | 92 | 92 | 92 | 92 | 92.0 | 92 |
| 93 | Justin Jefferson | WR | MIN | 6 | 93 | 93 | 93 | 93 | 93.0 | 93 |
| 94 | Pat Freiermuth | TE | PIT | 9 | 94 | 94 | 94 | 94 | 94.0 | 94 |
| 95 | Jaylen Warren | RB | PIT | 9 | 95 | 95 | 95 | 95 | 95.0 | 95 |
| 96 | Tyler Allgeier | RB | ATL | 12 | 96 | 96 | 96 | 96 | 96.0 | 96 |
| 97 | Christian Watson | WR | GB | 10 | 97 | 97 | 97 | 97 | 97.0 | 97 |
| 98 | Jalen Tolbert | WR | DAL | 7 | 98 | 98 | 98 | 98 | 98.0 | 98 |
| 99 | Bo Nix | QB | DEN | 14 | 99 | 99 | 99 | 99 | 99.0 | 99 |
| 100 | Cole Kmet | TE | CHI | 7 | 100 | 100 | 100 | 100 | 100.0 | 100 |
